chain_clean,year,avg_rating,review_vol,neg_share,AvgLikes,VarRating,revenue,cp_index,income_pop,FemaleShare,avg_sentiment,search_index
лэтуаль,2017.0,3.339622641509434,53,0.32075471698113206,2.358490566037736,3.3439767779390417,90.2,105.27,99.5,0.5364,0.016059720458067125,3.75
лэтуаль,2018.0,3.579925650557621,269,0.21189591078066913,4.25278810408922,2.6698940243022804,82.5,101.62,100.7,0.5361,0.05375429764501961,6.25
лэтуаль,2019.0,3.7697628458498023,1012,0.14525691699604742,4.83893280632411,2.0745348596271067,84.7,104.98,101.2,0.5359,0.0540402992317384,7.083333333333333
лэтуаль,2020.0,3.6492172211350296,2044,0.20107632093933464,3.11692759295499,2.5176156375691736,86.0,102.29,98.0,0.5358,0.04812019372896035,7.166666666666667
лэтуаль,2021.0,3.589924878479894,2263,0.21961997348652232,3.0790985417587273,2.640782620348954,80.4,106.1,103.3,0.5355,0.046246118445825726,6.583333333333333
лэтуаль,2022.0,3.3851018973998594,2846,0.28074490513000705,2.834855938158819,2.937057406133485,82.5,110.0,104.5,0.5349,0.0463972950419294,6.333333333333333
лэтуаль,2023.0,3.5760031626803714,5059,0.24471239375370626,2.029847796007116,2.863488885715584,84.8,111.15,106.1,0.5352,0.0465110806591763,7.833333333333333
лэтуаль,2024.0,3.1812149055640635,5877,0.35494299812829677,1.274629913221031,3.2937382786886227,89.3,107.21,107.3,0.5353,0.03557593892365991,7.166666666666667
магнит косметик,2015.0,4.280405405405405,296,0.11148648648648649,6.611486486486487,1.8024622079706822,40.1,112.9,97.6,0.5367,0.0683940437610842,7.416666666666667
магнит косметик,2016.0,4.04375,160,0.0875,13.18125,1.6521619496855333,66.0,105.4,95.5,0.5366,0.0476669202468918,11.25
магнит косметик,2017.0,3.8505747126436782,87,0.13793103448275862,19.24137931034483,2.0122961774926487,69.8,105.27,99.5,0.5364,0.015913979126592155,13.916666666666666
магнит косметик,2018.0,4.203636363636364,275,0.04,7.541818181818182,1.140862641008626,77.0,101.62,100.7,0.5361,0.0718195089870191,18.25
магнит косметик,2019.0,4.359619306594154,1471,0.03399048266485384,5.512576478585996,1.0426948209603348,91.6,104.98,101.2,0.5359,0.08120615986802067,25.583333333333332
магнит косметик,2020.0,4.386181039100161,1867,0.039100160685591856,4.310123192287092,1.0560361579897013,149.0,102.29,98.0,0.5358,0.0895340438591654,32.166666666666664
магнит косметик,2021.0,4.391412880678981,2003,0.050424363454817774,3.070394408387419,1.1624037470268105,163.8,106.1,103.3,0.5355,0.08994126095589816,33.083333333333336
магнит косметик,2022.0,4.376916868442292,1239,0.053268765133171914,2.90637610976594,1.2108076110157087,192.4,110.0,104.5,0.5349,0.0956544816815625,33.333333333333336
магнит косметик,2023.0,4.2731326644370125,897,0.09810479375696766,2.668896321070234,1.6808956442108638,200.7,111.15,106.1,0.5352,0.09930554932946506,26.083333333333332
